claim_id,claim,closest_primary_source,classification,disposition,scope_consequence
C01,Exact codeword likelihood is obtained by marginalizing over all latent state trajectories.,BCJR; sum-product; phase-noise factor-graph decoding,ANTICIPATED_CORE_PRINCIPLE,BLOCK_AS_NOVELTY,Hidden-state marginalization is established and remains only the exact oracle objective.
C02,"Enumerate per-state sorted lists, fully score encountered words, and stop when the best complete score exceeds the sum of current queue heads.",Fagin-Lotem-Naor Threshold Algorithm,ANTICIPATED_BY_THRESHOLD_ALGORITHM,BLOCK_AS_GENERIC_NEW_THEOREM,The generic top-1 sum threshold pattern is established; communication queue construction may still be useful.
C03,Use FEC or code validity to discriminate among candidate constellation rotations or phase hypotheses.,Code-aided phase recovery and optical carrier-phase patent literature,ANTICIPATED_CORE_APPLICATION,BLOCK_AS_NOVELTY,Code-aided phase-hypothesis discrimination is established.
C04,Generate a short codeword list and apply complete channel/state-marginal rescoring.,Noncoherent short-code list decoding and adaptive list decoding,ANTICIPATED_WORKFLOW,BLOCK_AS_STANDALONE_NOVELTY,List construction followed by complete rescoring is established.
C05,Globally merge state-conditioned word components for a sparse persistent automorphism channel and interleave them with arbitrary-code membership queries.,GRAND; finite-state and correlated-channel GRAND; code-aided phase inference,PARTIALLY_ANTICIPATED_COMBINATION,ALLOW_ONLY_AS_NARROW_COMBINATION,The reviewed record did not disclose the identical frozen intra-packet component-merge and membership interface.
C06,Return the first valid codeword in the globally ordered one-slip QPSK latent-cause stream.,First-hit GRAND; phase-candidate receivers; cycle-slip correction,NARROW_CANDIDATE_UNRESOLVED,ALLOW_PROVISIONALLY,This precise intra-packet sparse-cause ordering with an arbitrary membership interface remains provisional.
C07,Invoke complete marginal rescoring only for an adaptively bounded two-codeword latent list after a frozen ambiguity trigger.,Adaptive list decoding; noncoherent list rescoring,NARROW_CANDIDATE_UNRESOLVED,ALLOW_PROVISIONALLY,Only the precise trigger/order/interface combination remains potentially distinct.
C08,"Screen a binary linear code against every one-slip QPSK affine transform using H A G^T u = H b, with bounded coordinate interleaving.",Phase-equivariant and rotationally robust coding,USEFUL_SPECIALIZATION_NOT_FOUND_AS_IDENTICAL,ALLOW_AS_SUPPORTING_CONTRIBUTION,"Use only as a supporting safety analysis, not the primary novelty pillar."
C09,"Activate latent search only after a tracker alarm, residual test, syndrome failure, or CRC failure.",Event-triggered and adaptive receiver architectures,KNOWN_ARCHITECTURAL_PATTERN,ALLOW_AS_ENGINEERING_CHOICE_NOT_NOVELTY,Necessary to control rare-event overhead but not a novelty claim.
C10,A general field-defining group-action decoder for arbitrary latent transformation channels.,Hidden-state decoding; correlated-channel GRAND; group/phase-aware coding,TOO_BROAD_NOT_AUTHORIZED,BLOCK,Current evidence is one synthetic one-slip QPSK family.
C11,The current unseen-codeword certificate is both novel and practically efficient exact marginal-ML decoding.,Threshold Algorithm; commit ed5a4b4 exact-certificate results,REJECTED_NOVELTY_AND_PRACTICAL_CLAIM,BLOCK,The generic threshold structure is anticipated and the practical certificate gate failed.
C12,The work is currently a field-defining candidate.,G0 verdict at commit 0d2866b,NOT_AUTHORIZED_BY_EVIDENCE,BLOCK,"Structured matched baselines, final physical evidence, generality, and implementation evidence remain incomplete."
