claim_id,claim,classification,disposition,closest_sources,reason
C01,Exact codeword likelihood is obtained by marginalizing over all latent state trajectories.,ANTICIPATED_CORE_PRINCIPLE,BLOCK_AS_NOVELTY,S02;S03;S10,Hidden-state posterior marginalization is foundational BCJR/sum-product inference and is already used in phase-noise decoding.
C02,"Enumerate per-state sorted lists, fully score encountered words, and stop when the best complete score exceeds the sum of current queue heads.",ANTICIPATED_BY_THRESHOLD_ALGORITHM,BLOCK_AS_GENERIC_NEW_THEOREM,S01,This is a top-1 sum-aggregation threshold algorithm specialization with code membership acting as a feasibility predicate.
C03,Use FEC/code validity to discriminate among candidate constellation rotations or phase hypotheses.,ANTICIPATED_CORE_APPLICATION,BLOCK_AS_NOVELTY,S12;S14;S15;S21,Code-aided phase-hypothesis discrimination and cycle-slip-aware FEC are established in papers and patents.
C04,Generate a small candidate-codeword list and apply a complete channel/state-marginal metric to choose the final word.,ANTICIPATED_WORKFLOW,BLOCK_AS_STANDALONE_NOVELTY,S09;S13,Short-code list construction followed by a complete noncoherent metric and adaptive list sizing are known.
C05,Globally order state-conditioned word components for a sparse persistent automorphism channel and interleave them with arbitrary-code membership queries.,PARTIALLY_ANTICIPATED_COMBINATION,ALLOW_ONLY_AS_NARROW_COMBINATION,S04;S06;S07;S08;S19;S23,"All ingredients have close predecessors, but the reviewed sources did not disclose the identical frozen intra-packet automorphism/component-merge construction."
C06,Return the first valid codeword in the globally ordered sparse latent-cause stream as a practical max-witness decoder for one persistent QPSK slip.,NARROW_CANDIDATE_UNRESOLVED,ALLOW_PROVISIONALLY,S04;S12;S14;S19;S20,"First-valid GRAND and phase-candidate selection are known, but no reviewed source was found with this exact intra-packet sparse-cause/global-component ordering and arbitrary membership interface."
C07,Invoke complete marginal rescoring only for an adaptively bounded two-codeword latent list when an ambiguity trigger rejects first-valid confidence.,NARROW_CANDIDATE_UNRESOLVED,ALLOW_PROVISIONALLY,S09;S12;S13,Adaptive lists and complete rescoring are known separately; novelty can only be claimed for the precise trigger/order/interface combination after further search.
C08,Screen a binary linear code against one-slip QPSK affine transformations using the consistency/rank system H A G^T u = H b.,USEFUL_SPECIALIZATION_NOT_FOUND_AS_IDENTICAL,ALLOW_AS_SUPPORTING_CONTRIBUTION,S11;S14;S22,"Phase-equivariant and rotationally robust coding are established, but the exact target-length affine intersection audit was not found identically in the reviewed sources."
C09,"Activate the latent-state search only after a tracker alarm, syndrome/CRC failure, or other event detector.",KNOWN_ARCHITECTURAL_PATTERN,ALLOW_AS_ENGINEERING_CHOICE_NOT_NOVELTY,S12;S13;S21,Event-triggered or adaptive invocation is common; it is needed for practical overhead but is not a novelty pillar.
C10,A general field-defining group-action decoder for arbitrary latent transformation channels.,TOO_BROAD_NOT_AUTHORIZED,BLOCK,S02;S03;S06;S07;S08;S20,The current evidence is one synthetic QPSK slip family and does not support a general or field-defining claim.
C11,The current unseen-codeword certificate is both novel and practically efficient exact marginal-ML decoding.,REJECTED_NOVELTY_AND_PRACTICAL_CLAIM,BLOCK,S01,The generic threshold structure is anticipated and commit ed5a4b4 showed the practical exact-certificate gate failed.
C12,The work is currently a field-defining candidate.,NOT_AUTHORIZED_BY_EVIDENCE,BLOCK,S20,"Formal novelty, optimized matched baselines, structured codes, physical relevance, and implementation-level evidence remain incomplete."
