source_id,type,year,title,authors,identifier,url,primary,technical_relevance,novelty_effect
S01,journal,2003,Optimal Aggregation Algorithms for Middleware,Ronald Fagin; Amnon Lotem; Moni Naor,DOI 10.1016/S0022-0000(03)00026-6,https://research.ibm.com/publications/optimal-aggregation-algorithms-for-middleware--1,True,"Threshold Algorithm: sorted access to multiple per-object score lists, random access to complete scores, and stopping when the best complete object score exceeds the monotone aggregate of current list thresholds.",Strongly anticipates the generic sum-of-queue-heads top-1 stopping architecture in the original exact LS-GRAND theorem.
S02,journal,1974,Optimal Decoding of Linear Codes for Minimizing Symbol Error Rate,L. R. Bahl; J. Cocke; F. Jelinek; J. Raviv,DOI 10.1109/TIT.1974.1055186,https://research.ibm.com/publications/optimal-decoding-of-linear-codes-for-minimizing-symbol-error-rate,True,Exact posterior marginalization over hidden Markov states/transitions; linear-code decoding is explicitly a special case.,Latent-state marginalization is a foundational known principle.
S03,journal,2001,Factor Graphs and the Sum-Product Algorithm,F. R. Kschischang; B. J. Frey; H.-A. Loeliger,DOI 10.1109/18.910572,https://doi.org/10.1109/18.910572,True,Generic exact or approximate marginal-function computation on factor graphs; forward-backward and decoding are special cases.,Many-to-one hidden-state aggregation is not a new generic inference abstraction.
S04,journal/preprint,2019,Capacity-achieving Guessing Random Additive Noise Decoding,Ken R. Duffy; Jiange Li; Muriel Médard,arXiv:1802.07010; IEEE Transactions on Information Theory 2019,https://arxiv.org/abs/1802.07010,True,Likelihood-ordered disturbance guessing with arbitrary codebook membership; first valid hit is ML in the one-implied-disturbance additive setting.,The code-agnostic membership-query architecture and first-valid paradigm are established GRAND foundations.
S05,journal,2022,Ordered Reliability Bits Guessing Random Additive Noise Decoding,Ken R. Duffy; Wei An; Muriel Médard,IEEE Transactions on Signal Processing 2022,https://granddecoder.mit.edu/papers,True,Reliability-ordered approximate soft GRAND for arbitrary moderate-redundancy codes.,Soft reliability ordering and practical first-hit code-agnostic decoding are established.
S06,preprint,2025,Universal Decoding over Finite-State Additive Channels via Noise Guessing,H. K. Miyamoto; S. Yang,arXiv:2501.12971,https://arxiv.org/abs/2501.12971,True,Noise guessing for unknown finite-state additive channels.,Broad claims such as first GRAND for finite-state memory are not defensible.
S07,preprint,2026,GRAND for Gaussian Intersymbol Interference Channels,Zhuang Li; Wenyi Zhang,arXiv:2603.08325,https://arxiv.org/abs/2603.08325,True,Exact SGRAND-ISI and practical approximations for a channel with memory.,Exact likelihood ordering for non-memoryless channels is already an active GRAND direction.
S08,preprint,2026,Low-Pathwidth GRAND: Exact Likelihood-Ordered Enumeration for BPSK Transmission over Correlated Gaussian Noise,Behrooz Razeghi,arXiv:2607.28363,https://arxiv.org/abs/2607.28363,True,Trellis/dynamic-programming exact ordering and best-first enumeration for correlated Gaussian noise.,Conditional state/path enumeration alone is not a sufficient novelty claim.
S09,conference/preprint,2019,Low-Complexity Joint Channel Estimation and List Decoding of Short Codes,Mustafa Cemil Coşkun; Gianluigi Liva; Johan Östman; Giuseppe Durisi,arXiv:1901.05409; DOI 10.30420/454862046,https://arxiv.org/abs/1901.05409,True,Constructs a short-code list and applies a complete noncoherent metric to the list for final decision.,List construction followed by channel/state-marginal rescoring is an established workflow.
S10,preprint,2012,Efficient Iterative Decoding of LDPC in the Presence of Strong Phase Noise,Shachar Shayovitz; Dan Raphaeli,arXiv:1204.2660,https://arxiv.org/abs/1204.2660,True,"Factor-graph Bayesian inference jointly handles LDPC constraints and strong phase noise, including phase slips.",Joint coding/phase-slip inference is not new.
S11,preprint,2023,Phase-Equivariant Polar Coded Modulation,Marvin Geiselhart; Marc Gauger; Felix Krieg; Jannis Clausius; Stephan ten Brink,arXiv:2305.01972,https://arxiv.org/abs/2305.01972,True,Uses code automorphisms/frozen-bit design to resolve QPSK/QAM phase ambiguities without pilots.,"Code/constellation symmetry and orbit considerations are established, although the exact algebraic screening used here may remain a useful specialization."
S12,preprint,2025,Phase-Aware Code-Aided EM Algorithm for Blind Channel Estimation in PSK-Modulated OFDM,Chin-Hung Chen; Ivana Nikoloska; Wim J. van Houtum; Yan Wu; Alex Alvarado,arXiv:2511.21340,https://arxiv.org/abs/2511.21340,True,Generates a finite set of PSK-symmetry candidate models and uses decoder evidence to select the most likely model; invoked only when needed.,Finite phase-candidate generation and decoder-aided model selection/event-triggering are known architectural patterns.
S13,journal/preprint,2012,An Adaptive Successive Cancellation List Decoder for Polar Codes with Cyclic Redundancy Check,Bin Li; Hui Shen; David Tse,arXiv:1208.3091; DOI 10.1109/LCOMM.2012.111612.121898,https://arxiv.org/abs/1208.3091,True,Iteratively increases list size until a code-validity condition passes.,Adaptive list enlargement triggered by code validity is known; novelty must lie in the latent-cause ordering and specific ambiguity rule.
S14,patent,2015,Use of Parity-Check Coding for Carrier-Phase Estimation in an Optical Transport System,Timo J. Pfau; assignee Alcatel-Lucent,US9166628B2 / US20150171895A1,https://patents.google.com/patent/US9166628B2/en,True,Applies parallel phase rotations and FEC-code/MLSE evidence to recover absolute carrier phase; exploits the fact that wrong rotations need not map to valid codewords.,Very close prior to code-aided selection among phase rotations and orbit-safety concepts; creates material patent-proximity risk.
S15,patent,2016,LDPC Coding and Decoding for Channels with Phase Slip,European patent family,EP3001571A1 / WO2016045862A1,https://patents.google.com/patent/EP3001571A1/en,True,Special LDPC coding/decoding constructions for phase-slip channels and persistent bit inversions.,Phase-slip-aware FEC coding/decoding is established and patented.
S16,patent,2017,Cycle Slip Compensation in a Coherent Receiver,Patent family,US20170126328A1,https://patents.google.com/patent/US20170126328A1/en,True,Addresses coherent-receiver cycle slips caused by constellation rotational symmetry and persistent post-slip errors.,The physical use case and discrete-rotation correction problem are mature prior art.
S17,patent,2022,Architecture for Guessing Random Additive Noise Decoding (GRAND),Warren J. Gross; Syed Mohsin Abbas; Thibaud Tonnellier,US11381260B2,https://patents.google.com/patent/US11381260B2/en,True,Hardware architecture for candidate error-pattern generation and codebook membership evaluation.,Any implementation or hardware claim must account for the existing GRAND IP landscape.
S18,patent,2024,Universal Guessing Random Additive Noise Decoding (GRAND) Decoder,Patent family,US11870459B2,https://patents.google.com/patent/US11870459B2/en,True,Universal GRAND decoder intellectual-property family.,Freedom-to-operate cannot be inferred from an academic novelty screen.
S19,patent,2023,Guessing Random Additive Noise Decoding for Higher Modulation Constellations,Patent family,WO2023043343A1,https://patents.google.com/patent/WO2023043343A1/en,True,Extends GRAND-style candidate generation and membership testing to higher-order constellations.,Broad modulation-aware GRAND claims are unsafe.
S20,official_publication_list,2026,GRAND Papers,GRAND research group,"Official publication listing, accessed 2026-08-05",https://granddecoder.mit.edu/papers,True,"Documents a wide GRAND portfolio including memory, symbol reliability, demodulation, fading, joint detection, correlation, and hardware.",Broad first-of-kind wording must be avoided and patent review is required.
S21,patent,2014,Cycle Slip Reduction in Coherent Optical Communications,Patent family,US8886058B2 / EP2856669B1,https://patents.google.com/patent/US8886058B2/en,True,Parallel carrier-phase estimation and explicit ±90-degree cycle-slip detection/correction in coherent QPSK systems.,"The optical phase-slip anchor is established technology, not itself a novelty."
S22,patent,1997,Rotationally Invariant Trellis Coding Incorporating Transparent Binary Convolutional Codes,Patent family,US5621761A,https://patents.google.com/patent/US5621761A/en,True,Coding methods designed to recover from phase ambiguities/rotations without catastrophic FEC behavior.,Rotational code suitability is longstanding prior art.
S23,official_publication_entry,2025,GRAND-Assisted Demodulation,Basak Ozaydin; Muriel Médard; Ken R. Duffy,"IEEE Journal on Selected Areas in Communications, 2025",https://granddecoder.mit.edu/papers,True,Uses GRAND as part of demodulation rather than only a post-demapper bit decoder.,Broad claims to be the first GRAND mechanism operating at the modulation interface are unsafe.
